2022-06-24 13:01:20,663 DEBUG   SenderThread:51173 [sender.py:send_request():249] send_request: stop_status
2022-06-24 13:01:31,397 DEBUG   SenderThread:51173 [sender.py:send():235] send: stats
2022-06-24 13:01:31,434 INFO    Thread-10 :51173 [dir_watcher.py:_on_file_modified():269] file/dir modified: /Users/polcom/Code/RL/a3c_pong/wandb/run-20220624_130059-6v3h5ki2/files/config.yaml
2022-06-24 13:01:33,505 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: partial_history
2022-06-24 13:01:33,563 DEBUG   SenderThread:51173 [sender.py:send():235] send: history
2022-06-24 13:01:33,582 DEBUG   SenderThread:51173 [sender.py:send():235] send: summary
2022-06-24 13:01:33,710 INFO    SenderThread:51173 [sender.py:_save_file():949] saving file wandb-summary.json with policy end
2022-06-24 13:01:34,679 INFO    Thread-10 :51173 [dir_watcher.py:_on_file_modified():269] file/dir modified: /Users/polcom/Code/RL/a3c_pong/wandb/run-20220624_130059-6v3h5ki2/files/wandb-summary.json
2022-06-24 13:01:36,056 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: stop_status
2022-06-24 13:01:36,056 DEBUG   SenderThread:51173 [sender.py:send_request():249] send_request: stop_status
2022-06-24 13:01:51,444 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: stop_status
2022-06-24 13:01:51,445 DEBUG   SenderThread:51173 [sender.py:send_request():249] send_request: stop_status
2022-06-24 13:02:01,323 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: partial_history
2022-06-24 13:02:01,376 DEBUG   SenderThread:51173 [sender.py:send():235] send: history
2022-06-24 13:02:01,378 DEBUG   SenderThread:51173 [sender.py:send():235] send: summary
2022-06-24 13:02:01,415 INFO    SenderThread:51173 [sender.py:_save_file():949] saving file wandb-summary.json with policy end
2022-06-24 13:02:02,190 INFO    Thread-10 :51173 [dir_watcher.py:_on_file_modified():269] file/dir modified: /Users/polcom/Code/RL/a3c_pong/wandb/run-20220624_130059-6v3h5ki2/files/wandb-summary.json
2022-06-24 13:02:04,371 DEBUG   SenderThread:51173 [sender.py:send():235] send: stats
2022-06-24 13:02:06,885 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: stop_status
2022-06-24 13:02:06,885 DEBUG   SenderThread:51173 [sender.py:send_request():249] send_request: stop_status
2022-06-24 13:02:22,462 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: stop_status
2022-06-24 13:02:22,463 DEBUG   SenderThread:51173 [sender.py:send_request():249] send_request: stop_status
2022-06-24 13:02:29,786 DEBUG   HandlerThread:51173 [handler.py:handle_request():141] handle_request: partial_history
2022-06-24 13:02:29,825 DEBUG   SenderThread:51173 [sender.py:send():235] send: history
2022-06-24 13:02:29,825 DEBUG   SenderThread:51173 [sender.py:send():235] send: summary
2022-06-24 13:02:29,868 INFO    SenderThread:51173 [sender.py:_save_file():949] saving file wandb-summary.json with policy end
